case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
random_uniform_n100_c1,random_uniform,100,66,Suffix Automaton,0.2298,0.0559,0.2857,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,66,Enhanced Suffix Array,0.4096,0.065,0.4746,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,67,Suffix Automaton,0.2118,0.0542,0.266,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,67,Enhanced Suffix Array,0.4155,0.0647,0.48019999999999996,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,68,Suffix Automaton,0.2067,0.0542,0.2609,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,68,Enhanced Suffix Array,0.4092,0.0651,0.4743,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,69,Suffix Automaton,0.1926,0.0521,0.2447,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,69,Enhanced Suffix Array,0.4004,0.0642,0.46459999999999996,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,70,Suffix Automaton,0.1977,0.0521,0.2498,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,70,Enhanced Suffix Array,0.3837,0.0603,0.444,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,71,Suffix Automaton,0.201,0.0527,0.25370000000000004,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,71,Enhanced Suffix Array,0.4121,0.0652,0.4773,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,72,Suffix Automaton,0.1879,0.0492,0.2371,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,72,Enhanced Suffix Array,0.397,0.0648,0.4618,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,73,Suffix Automaton,0.2006,0.0532,0.2538,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,73,Enhanced Suffix Array,0.4163,0.0652,0.4815,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,74,Suffix Automaton,0.2506,0.0632,0.31379999999999997,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,74,Enhanced Suffix Array,0.4045,0.065,0.46950000000000003,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,75,Suffix Automaton,0.1974,0.051,0.24839999999999998,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
