case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
near_identical_n100_c1,near_identical,100,4,Suffix Automaton,0.2497,0.4023,0.652,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,4,Enhanced Suffix Array,1.4678,0.0552,1.523,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,5,Suffix Automaton,0.2861,0.4038,0.6899,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,5,Enhanced Suffix Array,1.2403,0.0462,1.2865,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,6,Suffix Automaton,0.2075,0.3373,0.5448,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,6,Enhanced Suffix Array,1.3501,0.0501,1.4002000000000001,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,7,Suffix Automaton,0.2135,0.3174,0.5309,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,7,Enhanced Suffix Array,1.2307,0.0434,1.2741,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,8,Suffix Automaton,0.2427,0.3273,0.57,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,8,Enhanced Suffix Array,1.2332,0.0441,1.2773,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,9,Suffix Automaton,0.189,0.3492,0.5382,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,9,Enhanced Suffix Array,1.4736,0.0557,1.5293,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,10,Suffix Automaton,0.2404,0.3809,0.6213,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,10,Enhanced Suffix Array,1.6233,0.0593,1.6825999999999999,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,11,Suffix Automaton,0.2503,0.38,0.6303000000000001,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,11,Enhanced Suffix Array,2.2957,0.0699,2.3656,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,12,Suffix Automaton,0.2672,0.3677,0.6349,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,12,Enhanced Suffix Array,1.5134,0.0548,1.5682,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,13,Suffix Automaton,0.2592,0.3784,0.6376,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,13,Enhanced Suffix Array,1.4573,0.0517,1.5090000000000001,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,14,Suffix Automaton,0.345,0.428,0.7729999999999999,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,14,Enhanced Suffix Array,1.2551,0.0461,1.3012000000000001,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,15,Suffix Automaton,0.2457,0.3676,0.6133,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,15,Enhanced Suffix Array,1.5362,0.0555,1.5917000000000001,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,16,Suffix Automaton,0.2028,0.3127,0.5155,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,16,Enhanced Suffix Array,2.0719,0.0574,2.1292999999999997,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,17,Suffix Automaton,0.2236,0.3202,0.5438,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,17,Enhanced Suffix Array,1.2812,0.0641,1.3453,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,18,Suffix Automaton,0.3624,0.4676,0.8300000000000001,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,18,Enhanced Suffix Array,1.2676,0.0469,1.3145,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,19,Suffix Automaton,0.2005,0.312,0.5125,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,19,Enhanced Suffix Array,1.4868,0.0503,1.5371,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,20,Suffix Automaton,0.2375,0.3487,0.5862,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,20,Enhanced Suffix Array,1.4367,0.0498,1.4865000000000002,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
